gescal17,municipio,tipo_via,nombre_via,numero,cod_postal,uuii
14000200004300000,CORDOBA,CALLE,MARTE,5,14014,11
14000200004300000,CORDOBA,CALLE,MARTE,7,14014,11
14000200010400000,CORDOBA,CALLE,ÁLVARO PAULO,22,14010,1
14000200010400000,CORDOBA,CALLE,ÁLVARO PAULO,24,14010,1
14000200011000000,CORDOBA,Avenida De,AMERICA,7,14005,18
14000200011000000,CORDOBA,Avenida De,AMERICA,9,14005,23
14000200011600000,CORDOBA,CALLE,DE ANDUJAR,11,14002,1
14000200012600000,CORDOBA,PLAZA,ANTONIO FERNÁNDEZ GRILO,1,14008,5
14000200013000000,CORDOBA,AVENIDA,DEL ARCÁNGEL,13,14010,9
14000200013300000,CORDOBA,CALLE,MERCURIO,1,14014,13
14000200014800000,CORDOBA,CALLE,ARQUITECTO SÁENZ SANTAMARÍA,12,14010,15
14000200016000000,CORDOBA,PLAZA,ARZOBISPO ROMERO MENGÍBAR,2,14014,66
14000200019100000,CORDOBA,CALLE,BATALLA DE LOS CUEROS,20,14010,16
14000200019100000,CORDOBA,CALLE,BATALLA DE LOS CUEROS,22,14010,15
14000200019100000,CORDOBA,CALLE,BATALLA DE LOS CUEROS,24,14010,15
14000200021000000,CORDOBA,CALLE,LA BODEGA,2,14008,19
14000200021000000,CORDOBA,CALLE,LA BODEGA,4,14008,10
14000200021000000,CORDOBA,CALLE,LA BODEGA,6,14008,6
14000200021000000,CORDOBA,CALLE,LA BODEGA,8,14008,10
14000200021000000,CORDOBA,CALLE,LA BODEGA,10,14008,4
14000200022800000,CORDOBA,AVENIDA,DEL CAIRO,1,14014,52
14000200023700000,CORDOBA,CALLE,CAMPO MADRE DE DIOS,7,14010,27
14000200024600000,CORDOBA,CALLE,CÁÑAMO,1,14010,28
14000200027100000,CORDOBA,AVENIDA,DE CARLOS III,14,14014,31
14000200027100000,CORDOBA,AVENIDA,DE CARLOS III,16,14014,33
14000200027100000,CORDOBA,AVENIDA,DE CARLOS III,18,14014,33
14000200027100000,CORDOBA,AVENIDA,DE CARLOS III,81,14014,27
14000200027700000,CORDOBA,CALLE,CARTAGO,20,14007,1
14000200027700000,CORDOBA,CALLE,CARTAGO,22,14007,1
14000200027700000,CORDOBA,CALLE,CARTAGO,26,14007,2
14000200027700000,CORDOBA,CALLE,CARTAGO,28,14007,1
14000200028400000,CORDOBA,CARRETERA,CARRETERA DE CASTRO,38,14009,1
14000200029800000,CORDOBA,AVENIDA,DE CERVANTES,16,14008,9
14000200029800000,CORDOBA,AVENIDA,DE CERVANTES,18,14008,16
14000200029800000,CORDOBA,AVENIDA,DE CERVANTES,20,14008,21
14000200031600000,CORDOBA,PLAZA,DE COLON,22,14001,1
14000200031600000,CORDOBA,PLAZA,DE COLON,23,14001,1
14000200032000000,CORDOBA,AVENIDA,DE RABANALES,6,14007,22
14000200032000000,CORDOBA,AVENIDA,DE RABANALES,12,14007,2
14000200032000000,CORDOBA,AVENIDA,DE RABANALES,14,14007,11
14000200032000000,CORDOBA,AVENIDA,DE RABANALES,15,14007,1
14000200032000000,CORDOBA,AVENIDA,DE RABANALES,19,14007,5
14000200032000000,CORDOBA,AVENIDA,DE RABANALES,21,14007,9
14000200032000000,CORDOBA,AVENIDA,DE RABANALES,23,14007,4
14000200032700000,CORDOBA,CALLE,COMPOSITOR RAMÓN MEDINA,1,14010,1
14000200032700000,CORDOBA,CALLE,COMPOSITOR RAMÓN MEDINA,3,14010,3
14000200032700000,CORDOBA,CALLE,COMPOSITOR RAMÓN MEDINA,5,14010,4
14000200032700000,CORDOBA,CALLE,COMPOSITOR RAMÓN MEDINA,7,14010,6
14000200032900000,CORDOBA,CALLE,CONCEPCIÓN,1,14003,11
14000200032900000,CORDOBA,CALLE,CONCEPCIÓN,3,14003,9
14000200032900000,CORDOBA,CALLE,CONCEPCIÓN,7,14003,13
14000200032900000,CORDOBA,CALLE,CONCEPCIÓN,9,14003,6
14000200032900000,CORDOBA,CALLE,CONCEPCIÓN,12,14003,9
14000200034000000,CORDOBA,CALLE,CONDE DE ROBLEDO,8,14008,7
14000200034700000,CORDOBA,CALLE,CONQUISTADOR RUIZ TAFUR,1,14007,34
14000200034700000,CORDOBA,CALLE,CONQUISTADOR RUIZ TAFUR,3,14007,16
14000200034700000,CORDOBA,CALLE,CONQUISTADOR RUIZ TAFUR,10,14007,1
14000200034900000,CORDOBA,PLAZA,CRISTO DE GRACIA,8,14002,4
14000200035000000,CORDOBA,CALLE,CORDEL DE ÉCIJA,2,14009,12
14000200036200000,CORDOBA,CALLE,CRONISTA MARAVER,3,14007,2
14000200040500000,CORDOBA,CALLE,DOCE DE OCTUBRE,24,14001,24
14000200042500000,CORDOBA,CALLE,DON CARLOS ROMERO,2,14007,6
